dim,birth,death
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.500863
0,0,0.502904
0,0,0.503193
0,0,0.505482
0,0,0.506986
0,0,0.51043
0,0,0.510803
0,0,0.516827
0,0,0.519127
0,0,0.519382
0,0,0.537095
0,0,0.537933
0,0,0.544602
0,0,0.5513
0,0,0.554685
0,0,0.555081
0,0,0.556846
0,0,0.560007
0,0,0.573036
0,0,0.57477
0,0,0.581489
0,0,0.58356
0,0,0.584252
0,0,0.58897
0,0,0.596579
0,0,0.603884
0,0,0.606709
0,0,0.610969
0,0,0.618372
0,0,0.64414
0,0,0.648368
0,0,0.675406
0,0,0.733535
0,0,0.760454
0,0,0.807309
0,0,0.965814
0,0,1.89654
0,0,2.69968
0,0,64.807
0,0,inf
