dim,birth,death
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.5
0,0,0.795452
0,0,1.45208
0,0,1.5746
0,0,2.25267
0,0,2.52927
0,0,inf
0,0,inf
