dim,birth,death
0,0,0.535804
0,0,0.551653
0,0,0.571785
0,0,0.631407
0,0,0.673137
0,0,0.883292
0,0,1.00026
0,0,1.00099
0,0,1.0104
0,0,1.09453
0,0,1.1093
0,0,1.15212
0,0,1.21922
0,0,1.22148
0,0,1.22228
0,0,1.26607
0,0,1.27399
0,0,1.28518
0,0,1.30508
0,0,1.36622
0,0,1.44822
0,0,1.52618
0,0,1.53816
0,0,1.53913
0,0,1.58526
0,0,1.59597
0,0,1.6067
0,0,1.6496
0,0,1.65257
0,0,1.6653
0,0,1.69135
0,0,1.72167
0,0,1.74457
0,0,1.74803
0,0,1.74978
0,0,1.78297
0,0,1.82451
0,0,1.83879
0,0,1.86391
0,0,1.86423
0,0,1.86585
0,0,1.86745
0,0,1.87056
0,0,1.8968
0,0,1.90622
0,0,1.92557
0,0,1.93101
0,0,1.93722
0,0,1.95453
0,0,1.95991
0,0,1.97197
0,0,1.97213
0,0,1.97286
0,0,1.97979
0,0,2.006
0,0,2.00968
0,0,2.0113
0,0,2.01252
0,0,2.03388
0,0,2.03532
0,0,2.04727
0,0,2.05564
0,0,2.07685
0,0,2.09781
0,0,2.10565
0,0,2.12903
0,0,2.13404
0,0,2.14069
0,0,2.16635
0,0,2.16642
0,0,2.16675
0,0,2.17724
0,0,2.18571
0,0,2.18863
0,0,2.18897
0,0,2.20615
0,0,2.2129
0,0,2.21934
0,0,2.22643
0,0,2.23962
0,0,2.24362
0,0,2.26527
0,0,2.26893
0,0,2.271
0,0,2.28184
0,0,2.28355
0,0,2.28858
0,0,2.29886
0,0,2.30476
0,0,2.32052
0,0,2.33244
0,0,2.33851
0,0,2.35188
0,0,2.36437
0,0,2.37967
0,0,2.38596
0,0,2.39936
0,0,2.40376
0,0,2.40834
0,0,2.40921
0,0,2.41126
0,0,2.45327
0,0,2.46065
0,0,2.46814
0,0,2.47275
0,0,2.47618
0,0,2.48023
0,0,2.48226
0,0,2.49158
0,0,2.50138
0,0,2.50417
0,0,2.51353
0,0,2.51824
0,0,2.52302
0,0,2.52559
0,0,2.53152
0,0,2.54485
0,0,2.55286
0,0,2.55911
0,0,2.56389
0,0,2.59905
0,0,2.62587
0,0,2.64856
0,0,2.65542
0,0,2.65662
0,0,2.66618
0,0,2.67081
0,0,2.68471
0,0,2.70274
0,0,2.72934
0,0,2.79395
0,0,2.85832
0,0,2.87118
0,0,2.89939
0,0,2.92368
0,0,2.92946
0,0,2.93414
0,0,2.9875
0,0,2.98986
0,0,3.03313
0,0,3.04311
0,0,3.11855
0,0,3.1294
0,0,3.20185
0,0,3.24525
0,0,3.31873
0,0,3.40362
0,0,3.41901
0,0,3.44591
0,0,3.47958
0,0,3.58944
0,0,3.72582
0,0,inf
